Location,Average Cap Rate,Average CPI,Average GDP
Atlanta, 0.065 , 211.63 ,304.5
Baltimore, 0.063 , 221.25 ,157.9
Boston, 0.058 , 242.20 ,346.4
Chicago, 0.063 , 215.51 ,555.6
Dallas, 0.066 , 206.92 ,371.4
Denver, 0.061 , 223.76 ,156.8
Detroit, 0.075 , 210.23 ,217.8
Houston, 0.067 , 198.46 ,368.5
LosAngeles, 0.055 , 230.91 ,766.8
Miami, 0.062 , 227.92 ,271.8
Minneapolis, 0.064 , 215.12 ,207.6
NewYork, 0.055 , 242.44 ,1355.2
Philadelphia, 0.066 , 228.28 ,352.2
Phoenix, 0.061 , 123.56 ,196.7
SanDiego, 0.055 , 252.26 ,179.3
SanFrancisco, 0.050 , 240.30 ,374.2
Seattle, 0.057 , 234.21 ,268.2
StLouis, 0.071 , 206.00 ,141.3
Tampa, 0.066 , 196.37 ,123.4
WashingtonDC, 0.061 , 231.18 ,424.2
National, 0.059 , 222.55 ,15990.0
,,,
