year,date,GDP,CPI,CR
1986,1/1/1986,4444.094,108.8,0.085
1986,4/1/1986,4507.894,109.5,0.085
1986,7/1/1986,4545.34,110.2,0.084
1986,10/1/1986,4607.669,110.5,0.084
1987,1/1/1987,4657.627,112.1,0.085
1987,4/1/1987,4722.156,113.5,0.085
1987,7/1/1987,4806.16,115,0.085
1987,10/1/1987,4884.555,115.4,0.085
1988,1/1/1988,5007.994,116.5,0.084
1988,4/1/1988,5073.372,118,0.084
1988,7/1/1988,5190.036,119.8,0.084
1988,10/1/1988,5282.835,120.5,0.084
1989,1/1/1989,5399.509,122.3,0.083
1989,4/1/1989,5511.253,124.1,0.083
1989,7/1/1989,5612.463,125,0.083
1989,10/1/1989,5695.365,126.1,0.083
1990,1/1/1990,5747.237,128.7,0.084
1990,4/1/1990,5872.701,129.9,0.084
1990,7/1/1990,5960.028,132.7,0.084
1990,10/1/1990,6015.116,133.8,0.084
1991,1/1/1991,6004.733,135,0.086
1991,4/1/1991,6035.178,136,0.086
1991,7/1/1991,6126.862,137.2,0.088
1991,10/1/1991,6205.937,137.9,0.088
1992,1/1/1992,6264.54,139.3,0.089
1992,4/1/1992,6363.102,140.2,0.089
1992,7/1/1992,6470.763,141.3,0.092
1992,10/1/1992,6566.641,141.9,0.092
1993,1/1/1993,6680.803,143.6,0.094
1993,4/1/1993,6729.459,144.4,0.094
1993,7/1/1993,6808.939,145.1,0.093
1993,10/1/1993,6882.098,145.8,0.093
1994,1/1/1994,7013.738,147.2,0.093
1994,4/1/1994,7115.652,148,0.092
1994,7/1/1994,7246.931,149.4,0.092
1994,10/1/1994,7331.075,149.7,0.086
1995,1/1/1995,7455.288,151.4,0.086
1995,4/1/1995,7522.289,152.5,0.09
1995,7/1/1995,7580.997,153.2,0.0897
1995,10/1/1995,7683.125,153.5,0.0924
1996,1/1/1996,7772.586,155.7,0.0922
1996,4/1/1996,7868.468,156.7,0.0922
1996,7/1/1996,8032.84,157.8,0.0946
1996,10/1/1996,8131.408,158.6,0.0954
1997,1/1/1997,8259.771,160,0.09333804
1997,4/1/1997,8362.655,160.3,0.09254392
1997,7/1/1997,8518.825,161.2,0.09208541
1997,10/1/1997,8662.823,161.3,0.09244829
1998,1/1/1998,8765.907,162.2,0.09158718
1998,4/1/1998,8866.48,163,0.08732234
1998,7/1/1998,8969.699,163.6,0.08781866
1998,10/1/1998,9121.097,163.9,0.09037014
1999,1/1/1999,9293.991,165,0.08995538
1999,4/1/1999,9417.264,166.2,0.08720744
1999,7/1/1999,9524.152,167.9,0.08835085
1999,10/1/1999,9681.856,168.3,0.0879172
2000,1/1/2000,9899.378,171.2,0.08780182
2000,4/1/2000,10002.857,172.4,0.08951351
2000,7/1/2000,10247.679,173.7,0.08934208
2000,10/1/2000,10319.825,174,0.08959458
2001,1/1/2001,10439.025,176.2,0.08896601
2001,4/1/2001,10472.879,178,0.08966717
2001,7/1/2001,10597.822,178.3,0.08974574
2001,10/1/2001,10596.294,176.7,0.08929059
2002,1/1/2002,10660.294,178.8,0.08979938
2002,4/1/2002,10788.952,179.9,0.08784453
2002,7/1/2002,10893.207,181,0.08502145
2002,10/1/2002,10992.051,180.9,0.08502764
2003,1/1/2003,11071.463,184.2,0.08387379
2003,4/1/2003,11183.507,183.7,0.07979489
2003,7/1/2003,11312.875,185.2,0.07502489
2003,10/1/2003,11567.326,184.3,0.07469185
2004,1/1/2004,11769.275,187.4,0.07406582
2004,4/1/2004,11920.169,189.7,0.07053186
2004,7/1/2004,12108.987,189.9,0.07013357
2004,10/1/2004,12303.34,190.3,0.06686704
2005,1/1/2005,12522.425,193.3,0.06372708
2005,4/1/2005,12761.337,194.5,0.06332654
2005,7/1/2005,12910.022,198.8,0.0612182
2005,10/1/2005,13142.873,196.8,0.05896537
2006,1/1/2006,13332.316,199.8,0.05746525
2006,4/1/2006,13603.933,202.9,0.05444515
2006,7/1/2006,13749.806,202.9,0.05502871
2006,10/1/2006,13867.469,201.8,0.05375065
2007,1/1/2007,14037.228,205.352,0.05445737
2007,4/1/2007,14208.569,208.352,0.05338461
2007,7/1/2007,14382.363,208.49,0.05340011
2007,10/1/2007,14535.003,210.036,0.05596363
2008,1/1/2008,14681.501,213.528,0.05806838
2008,4/1/2008,14651.039,218.815,0.06108744
2008,7/1/2008,14805.611,218.783,0.06141095
2008,10/1/2008,14835.187,210.228,0.06312502
2009,1/1/2009,14559.543,212.709,0.07356616
2009,4/1/2009,14394.547,215.693,0.07749091
2009,7/1/2009,14352.85,215.969,0.07722454
2009,10/1/2009,14420.312,215.949,0.07447239
2010,1/1/2010,14628.021,217.631,0.07052201
2010,4/1/2010,14721.35,217.965,0.06703802
2010,7/1/2010,14926.098,218.439,0.06320281
2010,10/1/2010,15079.917,219.179,0.05939865
2011,1/1/2011,15240.843,223.467,0.05853007
2011,4/1/2011,15285.828,225.722,0.05936331
2011,7/1/2011,15496.189,226.889,0.05812592
2011,10/1/2011,15591.85,225.672,0.05659138
2012,1/1/2012,15796.46,229.392,0.05627171
2012,4/1/2012,16019.758,229.478,0.05513416
2012,7/1/2012,16152.257,231.407,0.05480218
2012,10/1/2012,16257.151,229.601,0.05406573
2013,1/1/2013,16358.863,232.773,0.05328436
2013,4/1/2013,16569.591,233.504,0.05327968
2013,7/1/2013,16637.926,234.149,0.05291426
2013,10/1/2013,16848.748,233.049,0.05424602
2014,1/1/2014,17083.137,236.293,0.05396568
2014,4/1/2014,17104.555,238.343,0.0545588
2014,7/1/2014,17432.909,238.031,0.05443811
2014,10/1/2014,17721.657,234.812,0.0531997
2015,1/1/2015,17849.912,236.119,0.05197771
2015,4/1/2015,18003.399,238.638,0.04962713
2015,7/1/2015,18223.577,237.945,0.04853692
2015,10/1/2015,18347.425,236.525,0.04876146
2016,1/1/2016,18378.803,238.132,0.04706877
2016,4/1/2016,18470.156,241.018,0.0465386
2016,7/1/2016,18656.207,241.428,0.04649638
2016,10/1/2016,18821.359,241.432,0.04708851
2017,1/1/2017,19032.58,243.801,0.04741785
2017,4/1/2017,19237.435,244.955,0.04887138
2017,7/1/2017,19379.232,246.819,0.04873167
2017,10/1/2017,19617.288,246.524,0.04810123
2018,1/1/2018,19937.963,249.554,0.04800154
2018,4/1/2018,20242.215,251.989,0.04797487
2018,7/1/2018,20552.653,252.439,0.04730725
2018,10/1/2018,20742.723,251.233,0.04720627
2019,1/1/2019,20909.853,254.202,0.04722655
2019,4/1/2019,21115.309,256.143,0.04737905
2019,7/1/2019,21329.877,256.759,0.04726214
2019,10/1/2019,21540.325,256.974,0.04695661
2020,1/1/2020,21747.394,258.115,0.0460329
2020,4/1/2020,21561.139,257.797,0.04527132
2020,7/1/2020,19520.114,260.28,0.04674139
2020,10/1/2020,21170.252,260.474,0.04374975
2021,1/1/2021,21494.731,264.877,0.04296636
2021,4/1/2021,22048.894,271.696,0.04165294
2021,7/1/2021,22740.959,274.31,0.04034245
2021,10/1/2021,23202.344,278.802,0.03712012
