year,date,GDP,,5,7,CPI,,2,2,CR,8,,,
1986,1/1/1986,4444.094,,,,109.9,,,,0.085,,,,
1986,4/1/1986,4507.894,1.014356132,,,108.7,0.989080983,,,0.085,,,,
1986,7/1/1986,4545.34,1.008306761,,,109.5,1.007359706,0.998220344,,0.084,,,0.59375,
1986,10/1/1986,4607.669,1.013712726,,,110.2,1.006392694,1.0068762,,0.084,,13,32,
1987,1/1/1987,4657.627,1.010842359,,,111.4,1.010889292,1.008640993,TRUE,0.085,,19,43,0.441860465
1987,4/1/1987,4722.156,1.01385448,1.012214492,,112.7,1.011669659,1.011279476,TRUE,0.085,-1,,,
1987,7/1/1987,4806.16,1.017789332,1.012901131,,113.8,1.009760426,1.010715042,TRUE,0.085,-1,,,
1987,10/1/1987,4884.555,1.016311359,1.014502051,,115,1.010544815,1.010152621,FALSE,0.085,-1,,,
1988,1/1/1988,5007.994,1.025271289,1.016813764,,116,1.008695652,1.009620234,FALSE,0.084,0,,,
1988,4/1/1988,5073.372,1.013054728,1.017256237,,117.2,1.010344828,1.00952024,TRUE,0.084,0,,,
1988,7/1/1988,5190.036,1.022995357,1.019084413,,118.5,1.01109215,1.010718489,TRUE,0.084,0,,,
1988,10/1/1988,5282.835,1.017880223,1.019102591,,119.9,1.011814346,1.011453248,TRUE,0.084,0,,,
1989,1/1/1989,5399.509,1.02208549,1.020257417,FALSE,121.2,1.010842369,1.011328357,TRUE,0.083,1,0,0,
1989,4/1/1989,5511.253,1.020695215,1.019342203,FALSE,123.1,1.015676568,1.013259468,TRUE,0.083,1,0,0,
1989,7/1/1989,5612.463,1.018364245,1.020404106,FALSE,124.5,1.011372868,1.013524718,TRUE,0.083,1,0,0,
1989,10/1/1989,5695.365,1.014771055,1.018759246,TRUE,125.4,1.007228916,1.009300892,FALSE,0.083,1,0,0,
1990,1/1/1990,5747.237,1.009107757,1.017004752,TRUE,127.5,1.016746411,1.011987664,TRUE,0.084,1,1,1,
1990,4/1/1990,5872.701,1.021830316,1.016953718,FALSE,128.9,1.010980392,1.013863402,TRUE,0.084,1,0,0,
1990,7/1/1990,5960.028,1.014869989,1.015788672,TRUE,130.5,1.012412723,1.011696558,TRUE,0.084,1,1,1,
1990,10/1/1990,6015.116,1.00924291,1.013964405,TRUE,133.4,1.022222222,1.017317473,TRUE,0.084,1,1,1,
1991,1/1/1991,6004.733,0.998273849,1.010664964,TRUE,134.7,1.009745127,1.015983675,FALSE,0.086,1,0,0,
1991,4/1/1991,6035.178,1.005070167,1.009857446,TRUE,135.1,1.002969562,1.006357345,FALSE,0.086,1,0,0,
1991,7/1/1991,6126.862,1.015191598,1.008529703,TRUE,136.2,1.008142117,1.005555839,FALSE,0.088,1,0,0,
1991,10/1/1991,6205.937,1.012906281,1.008136961,TRUE,137.2,1.007342144,1.00774213,TRUE,0.088,1,1,1,
1992,1/1/1992,6264.54,1.009443054,1.00817699,TRUE,138.3,1.008017493,1.007679818,TRUE,0.089,1,1,1,
1992,4/1/1992,6363.102,1.015733318,1.011668884,TRUE,139.4,1.007953724,1.007985608,TRUE,0.089,1,1,1,
1992,7/1/1992,6470.763,1.016919578,1.014038766,FALSE,140.5,1.007890961,1.007922343,TRUE,0.092,0,,0,
1992,10/1/1992,6566.641,1.014817109,1.013963868,FALSE,141.7,1.008540925,1.008215943,TRUE,0.092,-1,,0,
1993,1/1/1993,6680.803,1.017385144,1.014859641,FALSE,142.8,1.007762879,1.008151902,FALSE,0.094,-1,,0,
1993,4/1/1993,6729.459,1.007282957,1.014427621,TRUE,143.8,1.007002801,1.00738284,FALSE,0.094,-1,,0,
1993,7/1/1993,6808.939,1.011810756,1.013643109,FALSE,144.5,1.004867872,1.005935337,FALSE,0.093,-1,,0,
1993,10/1/1993,6882.098,1.010744552,1.012408104,FALSE,145.6,1.007612457,1.006240164,TRUE,0.093,-1,,0,
1994,1/1/1994,7013.738,1.019127888,1.013270259,FALSE,146.3,1.004807692,1.006210075,FALSE,0.093,-1,,0,
1994,4/1/1994,7115.652,1.014530625,1.012699356,FALSE,147.2,1.006151743,1.005479718,FALSE,0.092,1,0,0,
1994,7/1/1994,7246.931,1.018449328,1.01493263,FALSE,148.4,1.008152174,1.007151958,TRUE,0.092,1,0,0,
1994,10/1/1994,7331.075,1.011610984,1.014892676,TRUE,149.4,1.006738544,1.007445359,TRUE,0.086,1,1,1,
1995,1/1/1995,7455.288,1.016943354,1.016132436,FALSE,150.5,1.007362784,1.007050664,TRUE,0.086,1,0,0,
1995,4/1/1995,7522.289,1.008987044,1.014104267,TRUE,151.8,1.008637874,1.008000329,TRUE,0.09,1,1,1,
