year,Atlanta,Baltimore,Boston,Chicago,Columbus,Dallas,Denver,Houston,Indianapolis,Jacksonville,LosAngeles,Miami,Minneapolis,NewYork,Philadelphia,Phoenix,SanAntonio,SanDiego,SanFrancisco,SanJose,Seattle,StLouis,Tampa,WashingtonDC
2001,0.089220294,0.087877838,0.072683758,0.078997543,0.086423469,0.087702595,0.088179121,0.083257667,0.094079075,0.090406244,0.075983494,0.081032714,0.083805165,0.083605102,0.09293483,0.085709405,0.083078847,0.073308642,0.067479981,0.062313134,0.082242962,0.083609519,0.08735809,0.090500185
2002,0.085984827,0.083529693,0.077757734,0.080984454,0.085450625,0.090301625,0.082117804,0.086237208,0.083897509,0.080902677,0.072168018,0.082648727,0.087519559,0.076149289,0.098122369,0.082532463,0.084135173,0.07336868,0.062891425,0.070877695,0.078491553,0.083364416,0.086013207,0.084949405
2003,0.077937113,0.071802496,0.070882042,0.070748746,0.084934044,0.079822522,0.074905285,0.082100746,0.08082134,0.077775902,0.067432932,0.074284802,0.079102807,0.069145696,0.083789307,0.07675925,0.082933368,0.066371573,0.064797631,0.061149524,0.07114554,0.081777898,0.080113264,0.074344943
2004,0.070706828,0.067199547,0.069168592,0.070023298,0.076456863,0.073723017,0.071016376,0.077256708,0.063669458,0.069150327,0.06224128,0.063285402,0.076973529,0.067527365,0.076748065,0.068776182,0.076544805,0.059847847,0.061045477,0.056135055,0.064027335,0.079161088,0.071955177,0.06783739
2005,0.066430536,0.062829912,0.065514611,0.066710731,0.077525562,0.068764769,0.059630801,0.073254997,0.072711788,0.06661982,0.056061209,0.062619714,0.066883694,0.058997625,0.066395109,0.06173527,0.074169716,0.048498031,0.052658092,0.052356176,0.059494225,0.071328965,0.06660815,0.06035525
2006,0.064271181,0.05736374,0.062812927,0.063198747,0.069365217,0.067479353,0.057326438,0.070857859,0.073294984,0.068932421,0.05234757,0.052167299,0.059204483,0.048954799,0.064970892,0.05566209,0.072254076,0.047994932,0.049080836,0.05277422,0.054207191,0.072397007,0.059145293,0.056784702
2007,0.062677035,0.059084244,0.059774699,0.057693785,0.069077948,0.069583724,0.056276842,0.069198196,0.064617328,0.070113999,0.05233964,0.060396151,0.06414461,0.046764409,0.06020192,0.054936659,0.06825722,0.051413371,0.051457826,0.05078834,0.054514597,0.071634308,0.061944379,0.058207198
2008,0.061024717,0.059867145,0.060428318,0.064638066,0.070965008,0.071135638,0.064002542,0.068406235,0.075196874,0.072733161,0.053778598,0.06763141,0.06842418,0.057850453,0.063243002,0.058706336,0.073980522,0.05556734,0.051473629,0.058975065,0.05466824,0.083204123,0.06541607,0.055498134
2009,0.068011843,0.068840981,0.057439033,0.069408173,0.076298885,0.074942402,0.069975318,0.072296889,0.077112751,0.083798878,0.060055117,0.079800496,0.065410462,0.061814132,0.068737853,0.068138909,0.068769671,0.061429625,0.044561584,0.056975388,0.060686996,0.080765951,0.071210264,0.063610194
2010,0.071913175,0.069991145,0.06465597,0.064799926,0.075506375,0.068420143,0.067178865,0.073328345,0.058774156,0.067478265,0.064593265,0.075318989,0.068430636,0.065618283,0.069002654,0.066671303,0.067644527,0.064196216,0.055685032,0.060515749,0.062091923,0.071125699,0.073563761,0.064760405
