Market,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Atlanta,"1,236","1,248","1,267","1,284","1,318","1,347","1,366","1,385","1,388","1,395","1,410","1,424","1,433","1,451","1,481","1,507","1,532","1,555","1,585","1,599","1,608","1,622","1,636","1,651","1,666","1,681"
Austin,495,503,512,526,545,564,585,606,622,644,662,667,687,704,723,741,756,784,815,841,859,876,894,912,930,948
Baltimore,979,982,990,"1,001","1,005","1,006","1,004","1,008","1,009","1,021","1,026","1,037","1,043","1,042","1,047","1,055","1,064","1,068","1,076","1,077","1,074","1,073","1,074","1,076","1,079","1,082"
Boston,"1,550","1,540","1,534","1,530","1,531","1,531","1,532","1,543","1,555","1,581","1,597","1,593","1,592","1,601","1,610","1,628","1,650","1,679","1,693","1,703","1,707","1,713","1,720","1,728","1,736","1,745"
Charlotte,322,329,338,350,362,375,390,401,410,417,426,433,439,451,463,472,484,492,502,510,517,526,534,544,553,562
Chicago,"2,618","2,628","2,625","2,632","2,642","2,650","2,661","2,665","2,659","2,650","2,648","2,670","2,689","2,701","2,723","2,745","2,747","2,784","2,795","2,785","2,769","2,758","2,749","2,742","2,736","2,729"
Cincinnati,777,780,787,796,800,803,807,812,818,818,819,823,826,833,839,847,859,869,875,879,880,882,884,888,891,894
Cleveland,869,867,868,869,864,857,852,849,849,844,847,846,849,855,858,862,874,881,888,888,884,881,880,878,877,876
Columbus,657,665,676,688,695,703,712,721,731,735,740,746,752,764,773,780,790,802,816,822,828,836,844,853,862,871
WashingtonDC,"1,456","1,473","1,482","1,501","1,515","1,518","1,524","1,541","1,560","1,591","1,608","1,617","1,628","1,642","1,656","1,670","1,679","1,702","1,719","1,731","1,736","1,743","1,750","1,760","1,770","1,781"
Dallas,"1,698","1,716","1,738","1,771","1,813","1,851","1,886","1,927","1,959","2,012","2,054","2,087","2,117","2,150","2,182","2,225","2,256","2,289","2,319","2,347","2,373","2,402","2,431","2,459","2,487","2,516"
Denver,858,876,883,890,879,883,889,903,913,937,949,961,972,990,"1,007","1,023","1,036","1,056","1,074","1,083","1,089","1,097","1,105","1,115","1,124","1,133"
Detroit,769,763,760,756,743,729,715,699,690,678,669,666,670,671,678,688,697,703,707,705,699,693,688,684,679,675
Fort Lauderdale,651,662,666,674,687,682,668,659,653,658,666,665,663,665,671,678,683,690,699,701,702,706,711,715,720,725
Honolulu,279,285,287,292,295,298,301,301,306,309,310,312,314,316,316,319,323,323,330,330,327,325,323,323,323,323
Houston,"1,408","1,426","1,449","1,479","1,515","1,556","1,586","1,623","1,659","1,708","1,746","1,779","1,811","1,863","1,915","1,946","1,944","1,962","2,011","2,037","2,060","2,088","2,118","2,149","2,179","2,210"
Indianapolis,644,653,660,679,693,698,709,719,724,726,731,738,743,749,759,770,779,790,801,808,812,816,821,828,834,839
Inland Empire,"1,011","1,046","1,086","1,129","1,169","1,203","1,225","1,229","1,235","1,262","1,288","1,286","1,293","1,310","1,331","1,337","1,334","1,348","1,359","1,367","1,375","1,385","1,398","1,412","1,426","1,442"
Jacksonville,447,456,462,474,489,498,502,502,500,503,509,512,519,531,541,555,566,581,592,601,608,615,623,631,640,648
Kansas City,433,436,439,442,440,442,444,448,451,453,455,458,460,462,469,473,479,484,489,492,493,494,496,497,498,499
Las Vegas,523,546,568,597,625,650,667,673,683,696,698,711,712,725,735,747,769,793,801,810,817,827,837,849,860,872
Long Island,934,940,945,939,937,930,924,930,941,942,943,936,938,942,933,930,947,965,969,970,970,971,971,973,975,978
LosAngeles,"3,160","3,191","3,218","3,233","3,241","3,228","3,207","3,183","3,176","3,199","3,209","3,235","3,256","3,279","3,303","3,318","3,326","3,330","3,341","3,324","3,303","3,290","3,284","3,281","3,280","3,281"
Louisville,287,289,290,296,298,298,299,304,306,306,307,309,311,311,313,316,317,319,320,320,320,320,321,322,323,324
Memphis,339,338,341,343,346,346,346,346,346,344,345,347,348,348,348,350,346,350,351,350,349,348,348,348,347,347
Miami,771,781,784,793,807,810,805,801,798,808,819,836,840,844,857,876,875,891,908,909,910,914,920,926,932,938
Minneapolis,"1,055","1,065","1,075","1,091","1,083","1,090","1,102","1,116","1,120","1,123","1,131","1,140","1,148","1,156","1,170","1,180","1,191","1,200","1,208","1,213","1,216","1,221","1,226","1,233","1,239","1,245"
Nashville,554,557,568,579,595,606,620,634,643,646,653,660,667,679,693,712,726,739,746,755,762,770,777,785,793,801
