year,Atlanta,Baltimore,Boston,Chicago,Dallas,Denver,Detroit,Houston,LosAngeles,Miami,Minneapolis,NewYork,Philadelphia,Phoenix,SanDiego,SanFrancisco,Seattle,StLouis,Tampa,WashingtonDC
2005,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2006,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,True,True,False,True,True
2007,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False
2008,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True
2009,True,True,True,False,False,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True
2010,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2011,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2012,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2013,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,True
2014,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2015,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2016,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
2017,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
2018,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
2019,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
