,msa,mean_pers_one,mean_pers_two,consec_pers,pct_delta_pers_one,pct_delta_pers_two,true_pos,false_negatives,capture,pval
0,Atlanta,2,2,3,1,1,,0.2222222222222222,0.0,
0,Baltimore,2,4,1,4,1,0.25,0.4166666666666667,0.16666666666666666,0.5509849875850935
0,Boston,3,1,1,1,2,0.25,0.3333333333333333,0.16666666666666666,0.7500420337713639
0,Chicago,2,2,1,3,1,0.5,0.3125,0.16666666666666666,0.5958830905651775
0,Dallas,1,2,1,3,2,0.0,0.26666666666666666,0.0,
0,Denver,3,4,1,4,3,0.0,0.4,0.0,
0,Detroit,1,1,1,3,2,0.25,0.26666666666666666,0.2,0.9463753005331056
0,Houston,2,4,1,1,1,0.0,0.3076923076923077,0.0,
0,LosAngeles,3,1,1,4,2,0.25,0.13333333333333333,0.3333333333333333,0.5696527379624772
0,Miami,2,1,1,3,2,0.25,0.26666666666666666,0.2,0.9463753005331056
0,Minneapolis,3,3,1,1,1,0.25,0.15384615384615385,0.3333333333333333,0.6591177433586302
0,NewYork,2,2,1,4,1,0.2,0.46153846153846156,0.14285714285714285,0.3079702168993703
0,Philadelphia,1,2,1,1,1,0.3333333333333333,0.25,0.4,0.7098152665657174
0,Phoenix,1,2,1,3,1,0.5,0.1875,0.25,0.31623268726570397
0,SanDiego,1,1,1,2,3,0.25,0.26666666666666666,0.2,0.9463753005331056
0,SanFrancisco,3,1,1,3,1,0.0,0.35294117647058826,0.0,
0,Seattle,1,1,1,4,1,0.25,0.2,0.25,0.8274720060191043
0,StLouis,2,2,1,4,1,0.6,0.15384615384615385,0.6,0.05837509845496666
0,Tampa,1,4,1,4,1,0.3333333333333333,0.3076923076923077,0.2,0.9311749148236653
0,WashingtonDC,2,1,1,3,3,0.25,0.2,0.25,0.8274720060191043
