date,CR
1988-04-01,False
1988-07-01,False
1988-10-01,False
1989-01-01,True
1989-04-01,True
1989-07-01,True
1989-10-01,True
1990-01-01,True
1990-04-01,True
1990-07-01,True
1990-10-01,True
1991-01-01,True
1991-04-01,True
1991-07-01,True
1991-10-01,True
1992-01-01,True
1992-04-01,True
1992-07-01,True
1992-10-01,True
1993-01-01,False
1993-04-01,False
1993-07-01,False
1993-10-01,False
1994-01-01,False
1994-04-01,False
1994-07-01,False
1994-10-01,True
1995-01-01,True
1995-04-01,True
1995-07-01,True
1995-10-01,True
1996-01-01,True
1996-04-01,True
1996-07-01,False
1996-10-01,False
1997-01-01,False
1997-04-01,False
1997-07-01,False
1997-10-01,False
1998-01-01,False
1998-04-01,False
1998-07-01,True
1998-10-01,False
1999-01-01,False
1999-04-01,True
1999-07-01,True
1999-10-01,True
2000-01-01,True
2000-04-01,True
2000-07-01,True
2000-10-01,False
2001-01-01,True
2001-04-01,False
2001-07-01,False
2001-10-01,False
2002-01-01,False
2002-04-01,False
2002-07-01,False
2002-10-01,False
2003-01-01,False
2003-04-01,False
2003-07-01,False
2003-10-01,False
2004-01-01,False
2004-04-01,False
2004-07-01,False
2004-10-01,False
2005-01-01,False
2005-04-01,False
2005-07-01,False
2005-10-01,False
2006-01-01,False
2006-04-01,False
2006-07-01,False
2006-10-01,True
2007-01-01,True
2007-04-01,True
2007-07-01,True
2007-10-01,True
2008-01-01,True
2008-04-01,True
2008-07-01,True
2008-10-01,True
2009-01-01,False
2009-04-01,False
2009-07-01,False
2009-10-01,False
2010-01-01,False
2010-04-01,False
2010-07-01,False
2010-10-01,False
2011-01-01,False
2011-04-01,False
2011-07-01,False
2011-10-01,False
2012-01-01,False
2012-04-01,False
2012-07-01,False
2012-10-01,True
2013-01-01,True
2013-04-01,True
2013-07-01,True
2013-10-01,False
2014-01-01,False
2014-04-01,False
2014-07-01,False
2014-10-01,False
2015-01-01,False
2015-04-01,False
2015-07-01,False
2015-10-01,False
2016-01-01,True
2016-04-01,True
2016-07-01,True
2016-10-01,True
2017-01-01,True
2017-04-01,False
2017-07-01,False
2017-10-01,False
2018-01-01,False
2018-04-01,False
2018-07-01,False
2018-10-01,False
2019-01-01,False
2019-04-01,False
2019-07-01,False
2019-10-01,False
2020-01-01,False
2020-04-01,False
2020-07-01,False
2020-10-01,False
