,year,date,GDP,CPI,CR
0,1986,1/1/1986,4444.094,109.9,0.085
1,1986,4/1/1986,4507.894,108.7,0.085
2,1986,7/1/1986,4545.34,109.5,0.084
3,1986,10/1/1986,4607.669,110.2,0.084
4,1987,1/1/1987,4657.627,111.4,0.085
5,1987,4/1/1987,4722.156,112.7,0.085
6,1987,7/1/1987,4806.16,113.8,0.085
7,1987,10/1/1987,4884.555,115.0,0.085
8,1988,1/1/1988,5007.994000000001,116.0,0.084
9,1988,4/1/1988,5073.372,117.2,0.084
10,1988,7/1/1988,5190.036,118.5,0.084
11,1988,10/1/1988,5282.835,119.9,0.084
12,1989,1/1/1989,5399.509,121.2,0.083
13,1989,4/1/1989,5511.253000000001,123.1,0.083
14,1989,7/1/1989,5612.463000000001,124.5,0.083
15,1989,10/1/1989,5695.365,125.4,0.083
16,1990,1/1/1990,5747.236999999999,127.5,0.084
17,1990,4/1/1990,5872.701,128.9,0.084
18,1990,7/1/1990,5960.028,130.5,0.084
19,1990,10/1/1990,6015.116,133.4,0.084
20,1991,1/1/1991,6004.733,134.7,0.086
21,1991,4/1/1991,6035.178000000001,135.1,0.086
22,1991,7/1/1991,6126.861999999999,136.2,0.08800000000000001
23,1991,10/1/1991,6205.937,137.2,0.08800000000000001
24,1992,1/1/1992,6264.54,138.3,0.08900000000000001
25,1992,4/1/1992,6363.102,139.4,0.08900000000000001
26,1992,7/1/1992,6470.763000000001,140.5,0.092
27,1992,10/1/1992,6566.641,141.7,0.092
28,1993,1/1/1993,6680.803000000001,142.8,0.094
29,1993,4/1/1993,6729.459,143.8,0.094
30,1993,7/1/1993,6808.939,144.5,0.09300000000000001
31,1993,10/1/1993,6882.098000000001,145.6,0.09300000000000001
32,1994,1/1/1994,7013.738,146.3,0.09300000000000001
33,1994,4/1/1994,7115.651999999999,147.2,0.092
34,1994,7/1/1994,7246.931,148.4,0.092
35,1994,10/1/1994,7331.075,149.4,0.086
36,1995,1/1/1995,7455.2880000000005,150.5,0.086
37,1995,4/1/1995,7522.289000000001,151.8,0.09
38,1995,7/1/1995,7580.996999999999,152.6,0.0897
39,1995,10/1/1995,7683.125,153.5,0.0924
40,1996,1/1/1996,7772.585999999999,154.7,0.0922
41,1996,4/1/1996,7868.468000000001,156.1,0.0922
42,1996,7/1/1996,8032.84,157.0,0.0946
43,1996,10/1/1996,8131.408,158.2,0.0954
44,1997,1/1/1997,8259.771,159.4,0.09333804
45,1997,4/1/1997,8362.655,159.9,0.09254392
46,1997,7/1/1997,8518.825,160.4,0.09208541
47,1997,10/1/1997,8662.823,161.5,0.09244829
48,1998,1/1/1998,8765.907,162.0,0.09158718
49,1998,4/1/1998,8866.48,162.2,0.08732234
50,1998,7/1/1998,8969.699,163.2,0.08781866
51,1998,10/1/1998,9121.097,163.9,0.09037014
52,1999,1/1/1999,9293.991,164.7,0.08995538
53,1999,4/1/1999,9417.264000000001,165.9,0.08720744
54,1999,7/1/1999,9524.152,166.7,0.08835085
55,1999,10/1/1999,9681.856,168.1,0.0879172
56,2000,1/1/2000,9899.378,169.3,0.08780182
